# thresholds,fpr,tpr
9.999999994867752040e-01,4.027177269919703373e-01,4.396406513194834331e-01
9.999999993415242816e-01,4.027177269919703373e-01,4.407636159460976977e-01
9.999999993134458531e-01,4.033353922174181538e-01,4.407636159460976977e-01
9.999999992583437081e-01,4.033353922174181538e-01,4.413250982594048022e-01
9.999999991505597041e-01,4.039530574428659704e-01,4.413250982594048022e-01
9.999999991272288113e-01,4.039530574428659704e-01,4.418865805727119622e-01
9.999999990974333119e-01,4.045707226683137869e-01,4.418865805727119622e-01
9.999999989919616805e-01,4.045707226683137869e-01,4.424480628860190667e-01
9.999999987194754247e-01,4.058060531192093645e-01,4.424480628860190667e-01
9.999999977773821325e-01,4.058060531192093645e-01,4.446939921392475958e-01
9.999999973698876499e-01,4.070413835701049976e-01,4.446939921392475958e-01
9.999999972810453830e-01,4.070413835701049976e-01,4.452554744525547559e-01
9.999999965817265579e-01,4.101297096973440248e-01,4.452554744525547559e-01
9.999999896098156205e-01,4.101297096973440248e-01,4.486243683323975495e-01
9.999999831195479638e-01,4.113650401482396579e-01,4.486243683323975495e-01
9.999999828084479292e-01,4.113650401482396579e-01,4.491858506457046540e-01
9.999999785585340639e-01,4.126003705991352910e-01,4.491858506457046540e-01
9.999999747071950384e-01,4.126003705991352910e-01,4.503088152723189186e-01
9.999999695755978912e-01,4.138357010500308686e-01,4.503088152723189186e-01
9.999999681152279551e-01,4.138357010500308686e-01,4.508702975856260786e-01
9.999999663723790899e-01,4.144533662754786851e-01,4.508702975856260786e-01
9.999999607927143597e-01,4.144533662754786851e-01,4.519932622122402877e-01
9.999999459442607819e-01,4.156886967263743182e-01,4.519932622122402877e-01
9.999999441609788153e-01,4.156886967263743182e-01,4.525547445255474477e-01
9.999999239519621330e-01,4.163063619518221348e-01,4.525547445255474477e-01
9.999999141408761894e-01,4.163063619518221348e-01,4.536777091521617122e-01
9.999998888485311932e-01,4.181593576281655289e-01,4.536777091521617122e-01
9.999998868463985113e-01,4.181593576281655289e-01,4.542391914654688168e-01
9.999998633188660335e-01,4.206300185299567396e-01,4.542391914654688168e-01
9.999998482231998720e-01,4.206300185299567396e-01,4.548006737787759768e-01
9.999997872518795461e-01,4.237183446571958223e-01,4.548006737787759768e-01
9.999997827962988639e-01,4.237183446571958223e-01,4.553621560920830813e-01
9.999997767785785419e-01,4.243360098826435833e-01,4.553621560920830813e-01
9.999995934721460644e-01,4.243360098826435833e-01,4.576080853453116104e-01
9.999991939071856129e-01,4.292773316862260602e-01,4.576080853453116104e-01
9.999988880679164804e-01,4.292773316862260602e-01,4.581695676586187704e-01
9.999987023561843769e-01,4.298949969116738767e-01,4.581695676586187704e-01
9.999985426416719836e-01,4.298949969116738767e-01,4.587310499719258750e-01
9.999983736240397603e-01,4.305126621371216933e-01,4.587310499719258750e-01
9.999982941191428720e-01,4.305126621371216933e-01,4.592925322852330350e-01
9.999979653700287185e-01,4.317479925880172709e-01,4.592925322852330350e-01
9.999979484056418233e-01,4.317479925880172709e-01,4.598540145985401395e-01
9.999977277021153688e-01,4.323656578134650874e-01,4.598540145985401395e-01
9.999973124951004877e-01,4.323656578134650874e-01,4.609769792251544041e-01
9.999966173544262427e-01,4.329833230389129040e-01,4.609769792251544041e-01
9.999964305005417664e-01,4.329833230389129040e-01,4.615384615384615641e-01
9.999954891593954009e-01,4.354539839407041146e-01,4.615384615384615641e-01
9.999952308783032207e-01,4.354539839407041146e-01,4.620999438517686686e-01
9.999948120256948458e-01,4.360716491661519312e-01,4.620999438517686686e-01
9.999924819998851078e-01,4.360716491661519312e-01,4.637843907916900377e-01
9.999912662727247215e-01,4.373069796170475643e-01,4.637843907916900377e-01
9.999884191072264672e-01,4.373069796170475643e-01,4.654688377316114622e-01
9.999849784310929079e-01,4.403953057442865915e-01,4.654688377316114622e-01
9.999846261290075145e-01,4.403953057442865915e-01,4.660303200449185668e-01
9.999820854171866946e-01,4.428659666460778022e-01,4.660303200449185668e-01
9.999807302758407790e-01,4.428659666460778022e-01,4.665918023582257268e-01
9.999807096256935202e-01,4.434836318715256187e-01,4.665918023582257268e-01
9.999782864596938881e-01,4.434836318715256187e-01,4.677147669848399913e-01
9.999776346082159817e-01,4.441012970969734353e-01,4.677147669848399913e-01
9.999738392068384663e-01,4.441012970969734353e-01,4.682762492981470959e-01
9.999660063654316478e-01,4.447189623224212518e-01,4.682762492981470959e-01
9.999525690163469926e-01,4.447189623224212518e-01,4.699606962380685204e-01
9.999394776410993613e-01,4.453366275478690683e-01,4.699606962380685204e-01
9.999181214623985570e-01,4.453366275478690683e-01,4.705221785513756250e-01
9.998964557368943407e-01,4.465719579987646459e-01,4.705221785513756250e-01
9.998079580374179542e-01,4.465719579987646459e-01,4.716451431779898895e-01
9.997248245135852418e-01,4.471896232242124625e-01,4.716451431779898895e-01
9.997042270137833642e-01,4.471896232242124625e-01,4.722066254912970495e-01
9.991965636218295144e-01,4.502779493514514897e-01,4.722066254912970495e-01
9.991764423600161260e-01,4.502779493514514897e-01,4.727681078046041541e-01
9.990777162103462450e-01,4.515132798023471228e-01,4.727681078046041541e-01
